Player: Kinoruu, Overall Wins: 153
Player: Schpudey, Overall Wins: 101
Player: stUmpTy, Overall Wins: 100
Player: Posh132, Overall Wins: 53
Player: Olympic_Live, Overall Wins: 15
Player: Quintanya, Overall Wins: 13
Player: Nate_the_Nobody, Overall Wins: 12
Player: WanWan362, Overall Wins: 10
Player: Uniwersal, Overall Wins: 7
Player: burninrubber0, Overall Wins: 4
Player: HighWarlord, Overall Wins: 2
Player: Unknown, Overall Wins: 1
Player: P_Cuda, Overall Wins: 1
Player: 062en, Overall Wins: 1
Player: Suimin, Overall Wins: 1
Player: Siri, Overall Wins: 1
Player: Sky_LinerMW, Overall Wins: 1
Player: Mangled, Overall Wins: 1
